setId,rep_number,time,position,speed,acceleration,force
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0,-111.5488052,0.044535022,2.411550999,26.10961914
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.0049999,-111.5490952,0.058488499,2.790695667,25.57940865
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.0099998,-111.5494766,0.075152367,3.33277297,24.84467888
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.0149997,-111.5499496,0.095329098,4.035347462,23.90844917
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.019999599,-111.5505524,0.119732149,4.880609512,22.79408836
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.024999499,-111.5512924,0.148918331,5.837236881,21.54173279
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.0299994,-111.5522079,0.183240414,6.864414215,20.20322227
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.0349993,-111.5533218,0.222821325,7.916184902,18.83725739
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.039999198,-111.5546646,0.267559916,8.947714806,17.50086021
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.0449991,-111.5562515,0.317154974,9.91901207,16.24484444
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.049998999,-111.5581055,0.371147096,10.79842854,15.10938644
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.054998901,-111.5602493,0.428978056,11.56619167,14.11925697
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.059998799,-111.5626984,0.490050375,12.21446323,13.28428841
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.064998701,-111.5654678,0.553777099,12.74534321,12.60097218
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.0699986,-111.5685654,0.61963135,13.17084408,12.0541172
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.074998498,-111.5719986,0.687165618,13.50686169,11.62282276
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.079998396,-111.5757828,0.756016612,13.77020168,11.28559685
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.084998302,-111.5799103,0.825897753,13.97622204,11.02291679
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.089998201,-111.5843964,0.896574676,14.13538265,10.82094002
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.094998099,-111.5892334,0.967849791,14.25502968,10.67076969
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.099997997,-111.594429,1.039532542,14.33653545,10.57054996
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.104997903,-111.5999908,1.111428857,14.37928391,10.52066517
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.109997801,-111.6059036,1.183349967,14.38422203,10.51945686
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.1149977,-111.6121826,1.255135775,14.35715961,10.55939388
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.119997598,-111.6188126,1.32667613,14.30805969,10.62668419
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.124997497,-111.6258011,1.397937775,14.25232506,10.70160866
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.129997402,-111.6331482,1.468973398,14.20712185,10.76245594
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.134997293,-111.6408463,1.539908171,14.18695736,10.79072571
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.139997199,-111.6489029,1.610908031,14.19998264,10.77688503
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.144997105,-111.6573105,1.682142258,14.24685287,10.7209034
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.149996996,-111.6660843,1.753731966,14.31793594,10.63524532
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.154996902,-111.675209,1.825723529,14.39830494,10.53935623
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.159996793,-111.6847,1.898073792,14.47004795,10.45616913
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.164996698,-111.6945572,1.970654726,14.51620102,10.40690327
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.169996604,-111.7047729,2.043279886,14.52500916,10.40591335
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.174996495,-111.7153473,2.115748882,14.49381828,10.45613575
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.179996401,-111.7262878,2.187885523,14.42733574,10.55066776
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.184996307,-111.737587,2.259573936,14.33768082,10.67368221
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.189996198,-111.7492371,2.330781698,14.24152088,10.80370712
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.194996104,-111.7612457,2.401553392,14.15437126,10.9203186
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.199995995,-111.7736053,2.471997738,14.0888586,11.00827312
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.2049959,-111.7863235,2.542252541,14.05098248,11.0597868
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.209995806,-111.7993851,2.612462521,14.04198933,11.07365322
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.214995697,-111.8127975,2.682752848,14.05804729,11.05532265
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.219995603,-111.826561,2.753214121,14.09227467,11.01401329
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.224995494,-111.840683,2.823891401,14.13545322,10.96140194
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.2299954,-111.8551559,2.894777298,14.1771431,10.91108704
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.234995306,-111.8699875,2.965802908,14.20512676,10.87913036
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.239995196,-111.88517,3.036828279,14.20510864,10.88369179
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.244995102,-111.9007034,3.107632875,14.16088581,10.94594955
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.249994993,-111.9165955,3.177901506,14.05374622,11.09001541
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.254994899,-111.9328308,3.247208118,13.86131096,11.34438705
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.259994805,-111.9494095,3.315003633,13.55912495,11.74099731
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.264994711,-111.9663086,3.380598307,13.1189394,12.31603622
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.269994587,-111.9835281,3.443161011,12.51251698,13.10560036
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.274994493,-112.0010376,3.501727581,11.71330738,14.14586163
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.279994398,-112.0188141,3.555229664,10.70043468,15.46696281
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.284994304,-112.0368271,3.602568865,9.46784687,17.08161926
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.28999421,-112.0550385,3.642709732,8.028155327,18.98430634
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.294994086,-112.07341,3.674788952,6.415836334,21.14831734
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.299993992,-112.0919037,3.69820118,4.68245554,23.5329113
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.304993898,-112.110466,3.712655544,2.89088726,26.08740616
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.309993804,-112.1290588,3.718191385,1.107175589,28.75874901
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.314993709,-112.1476288,3.715162277,-0.605828643,31.49562454
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.319993585,-112.166153,3.704180956,-2.196270943,34.25216675
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.324993491,-112.1845856,3.686056614,-3.62489295,36.98488998
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.329993397,-112.2028885,3.661723375,-4.866631985,39.64995193
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.334993303,-112.2210541,3.632193089,-5.906056404,42.19603729
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.339993209,-112.2210541,3.632193089,-5.906056404,42.19603729
517cecc2-2d61-4e03-bd5e-d8a46e9afc44,3,0.344993114,-112.2390442,3.598538399,-6.730928898,44.55363083
